date,gap
5/31/1984,-0.003142812
6/30/1984,-0.003161517
7/31/1984,0.006525187
8/31/1984,0.007680286
9/30/1984,-0.001419215
10/31/1984,-0.003270102
11/30/1984,-0.006935314
12/31/1984,-0.002140158
1/31/1985,-0.002184991
2/28/1985,-0.016101192
3/31/1985,-0.014303582
4/30/1985,-0.016744546
5/31/1985,-0.019787715
6/30/1985,0.011574795
7/31/1985,0.011546359
8/31/1985,0.008314723
9/30/1985,0.005085018
10/31/1985,0.004262052
11/30/1985,0.003439094
12/31/1985,0.008187198
1/31/1986,0.011309565
2/28/1986,0.000970352
3/31/1986,-0.006227016
4/30/1986,-0.008637112
5/31/1986,-0.018264885
6/30/1986,-0.021475315
7/31/1986,-0.023877695
8/31/1986,-0.020652739
9/30/1986,-0.019051569
10/31/1986,-0.022244635
11/30/1986,-0.019061244
12/31/1986,-0.015906194
1/31/1987,-0.015926276
2/28/1987,-0.01516352
3/31/1987,-0.02226974
4/30/1987,-0.027811028
5/31/1987,-0.018381173
6/30/1987,-0.017630256
7/31/1987,-0.007598509
8/31/1987,-0.003057634
9/30/1987,-0.001605747
10/31/1987,-0.000165811
11/30/1987,0.003529001
12/31/1987,0.007189931
1/31/1988,0.008577772
2/29/1988,0.010698545
3/31/1988,0.009834598
4/30/1988,0.014888194
5/31/1988,0.015487913
6/30/1988,0.017546756
7/31/1988,0.023226568
8/31/1988,0.024513
9/30/1988,0.022900825
10/31/1988,0.027054405
11/30/1988,0.029740181
12/31/1988,0.029554489
1/31/1989,0.03362816
2/28/1989,0.031305519
3/31/1989,0.028276482
4/30/1989,0.026667955
5/31/1989,0.026476925
6/30/1989,0.022040679
7/31/1989,0.023974187
8/31/1989,0.026594833
9/30/1989,0.023587704
10/31/1989,0.014940889
11/30/1989,0.013348362
12/31/1989,0.020196777
1/31/1990,0.0045078
2/28/1990,0.008583221
3/31/1990,-0.001131696
4/30/1990,-0.004337866
5/31/1990,0.00253565
6/30/1990,0.001165327
7/31/1990,-0.000203253
8/31/1990,-0.003389926
9/30/1990,0.002499617
10/31/1990,-0.009758044
11/30/1990,-0.031373195
12/31/1990,-0.037367116
1/31/1991,-0.045248588
2/28/1991,-0.055049587
3/31/1991,-0.061099395
4/30/1991,-0.065256299
5/31/1991,-0.060871248
6/30/1991,-0.052778567
7/31/1991,-0.048499783
8/31/1991,-0.045184538
9/30/1991,-0.048352081
10/31/1991,-0.049667768
11/30/1991,-0.055609233
12/31/1991,-0.057844417
1/31/1992,-0.070333529
2/29/1992,-0.067888479
3/31/1992,-0.070115947
4/30/1992,-0.063055725
